"time","anomalies.detector_id","anomalies.diff"
"2015-07-20T16:07:31.000Z","9","9"
"2015-07-21T23:58:31.000Z","51","-11"
"2015-07-22T12:42:01.000Z","33","10"
"2015-07-22T14:27:01.000Z","33","10"
"2015-07-22T15:07:31.000Z","2","4"
"2015-07-23T13:45:01.000Z","2","4"
"2015-07-23T13:46:31.000Z","2","-4"
"2015-07-23T15:04:31.000Z","2","4"
"2015-07-23T15:07:31.000Z","2","-4"
"2015-07-23T16:01:31.000Z","2","-4"
"2015-07-23T16:03:01.000Z","2","5"
"2015-07-24T14:24:01.000Z","2","4"
"2015-07-24T14:25:31.000Z","2","-4"
"2015-07-24T15:04:31.000Z","2","5"
"2015-07-24T15:06:01.000Z","2","-5"
"2015-07-24T15:09:01.000Z","2","4"
"2015-07-24T15:13:31.000Z","2","-4"
"2015-07-24T15:18:01.000Z","3","-5"
"2015-07-24T15:34:31.000Z","3","5"
"2015-07-24T15:37:31.000Z","3","-5"
"2015-07-24T16:55:31.000Z","99","6"
"2015-07-24T19:28:31.000Z","94","7"
"2015-07-25T00:50:44.000Z","72","15"
"2015-07-27T11:37:31.000Z","2","-4"
"2015-07-27T12:34:31.000Z","3","5"
"2015-07-27T13:00:01.000Z","9","10"
"2015-07-27T15:07:31.000Z","3","-5"
"2015-07-27T16:03:01.000Z","2","4"
"2015-07-27T17:24:01.000Z","9","11"
"2015-07-28T08:43:31.000Z","3","5"
"2015-07-28T08:45:01.000Z","3","-5"
"2015-07-28T14:40:31.000Z","2","4"
"2015-07-28T14:42:01.000Z","2","-4"
"2015-07-28T15:04:31.000Z","2","4"
"2015-07-28T15:45:01.000Z","3","5"
"2015-07-28T15:46:31.000Z","3","-5"
"2015-07-29T11:12:01.000Z","2","-4"
"2015-07-29T12:16:31.000Z","3","5"
"2015-07-29T12:18:01.000Z","3","-5"
"2015-07-29T14:24:01.000Z","9","-10"
"2015-07-29T14:37:31.000Z","2","4"
"2015-07-29T14:39:01.000Z","2","-4"
"2015-07-29T15:04:31.000Z","3","5"
"2015-07-29T15:16:31.000Z","3","5"
"2015-07-29T16:06:01.000Z","9","13"
"2015-07-29T16:09:01.000Z","2","5"
"2015-07-29T16:10:31.000Z","2","-4"
"2015-07-31T09:42:01.000Z","80","-8"
"2015-07-31T14:04:31.000Z","2","4"
"2015-07-31T15:07:31.000Z","2","4"
"2015-08-02T23:58:31.000Z","36","7"
"2015-08-03T12:22:31.000Z","2","4"
"2015-08-03T14:04:31.000Z","2","4"
"2015-08-03T15:15:01.000Z","2","4"
"2015-08-03T15:16:31.000Z","2","-4"
"2015-08-03T15:49:31.000Z","3","5"
"2015-08-03T15:51:01.000Z","3","-5"
"2015-08-04T15:13:31.000Z","9","26"
"2015-08-04T17:33:01.000Z","9","9"
"2015-08-05T11:34:31.000Z","2","4"
"2015-08-05T14:46:31.000Z","9","10"
"2015-08-05T15:07:31.000Z","3","5"
"2015-08-05T15:09:01.000Z","2","-4"
"2015-08-05T15:34:31.000Z","3","5"
"2015-08-05T15:48:01.000Z","9","10"
"2015-08-05T20:00:01.000Z","99","8"
"2015-08-05T20:06:01.000Z","99","-8"
"2015-08-06T14:43:31.000Z","9","11"
"2015-08-06T15:04:31.000Z","3","5"
"2015-08-06T15:06:01.000Z","3","-5"
"2015-08-06T15:07:31.000Z","2","-4"
"2015-08-06T15:12:01.000Z","2","-4"
"2015-08-06T15:33:01.000Z","2","4"
"2015-08-06T16:09:01.000Z","3","5"
"2015-08-07T10:03:01.000Z","3","-5"
"2015-08-07T12:03:01.000Z","5","9"
"2015-08-07T12:12:01.000Z","19","14"
"2015-08-07T12:48:01.000Z","8","15"
"2015-08-07T13:33:01.000Z","9","11"
"2015-08-07T14:12:01.000Z","20","10"
"2015-08-07T15:07:31.000Z","3","-5"
"2015-08-07T15:09:01.000Z","2","4"
"2015-08-07T18:22:31.000Z","9","9"
"2015-08-07T19:09:01.000Z","9","11"
"2015-08-07T19:18:01.000Z","9","9"
"2015-08-07T19:21:01.000Z","9","-12"
"2015-08-07T19:58:31.000Z","9","10"
"2015-08-08T15:19:31.000Z","9","12"
"2015-08-08T16:40:31.000Z","9","-10"
"2015-08-10T07:00:01.000Z","9","9"
"2015-08-10T09:10:31.000Z","96","15"
"2015-08-10T09:30:01.000Z","2","5"
"2015-08-10T09:31:31.000Z","2","-5"
"2015-08-10T15:04:31.000Z","2","5"
"2015-08-10T15:06:01.000Z","2","-5"
"2015-08-10T15:07:31.000Z","2","4"
"2015-08-10T15:10:31.000Z","2","-4"
"2015-08-11T12:34:31.000Z","3","5"
"2015-08-11T15:30:01.000Z","3","5"
"2015-08-11T15:31:31.000Z","3","-5"
"2015-08-12T07:52:31.000Z","9","9"
"2015-08-12T11:28:31.000Z","9","9"
"2015-08-12T13:12:01.000Z","9","10"
"2015-08-12T15:04:31.000Z","3","5"
"2015-08-13T04:52:31.000Z","51","7"
"2015-08-13T15:04:31.000Z","3","5"
"2015-08-13T15:06:01.000Z","3","-5"
"2015-08-13T15:10:31.000Z","2","5"
"2015-08-13T15:12:01.000Z","2","-4"
"2015-08-13T18:16:31.000Z","9","9"
"2015-08-13T19:12:01.000Z","9","-15"
"2015-08-13T20:00:01.000Z","9","9"
"2015-08-13T21:13:31.000Z","9","14"
"2015-08-15T12:15:01.000Z","9","12"
